,relation,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128
0,X1,0.2267897689346387,-0.2019909568376124,-0.2755078316292842,-0.0567256288645994,0.1184226699876505,-0.1101933185915612,0.100986685296433,-0.1151550777871716,0.1146631198216917,-0.1408887860040037,-0.1164721019619463,-0.053561892141676,0.0381037972949571,0.1188759027552158,0.1608745635300263,-0.1397051891324307,-0.0356492152977675,0.0860848180217703,-0.0608635992992882,0.0235479823477776,-7.552596495574032e-05,0.0130536269817153,0.0266576368661497,-0.0175069150360355,0.0451660891999754,-0.0001588377521538,0.0076751213786217,-0.0960550035590294,0.0480933921926854,-0.0623872494482818,0.2656593354171652,0.0692162370618981,0.1929601553446487,0.0672220534622749,0.0948123954603185,0.1062836873548952,-0.0138039199627008,-0.0485592369214232,-0.0722087971515853,0.0723596625952295,-0.039355815501888,-0.049546489864862,0.0141108068992544,-0.0373787790020186,0.0680177268145173,0.0384586667273813,0.1038844892906419,0.1534447083627351,-0.0301576385475268,0.0838065037160007,0.0080420414316704,-0.0266349399987049,0.0055815093491074,-0.0907947752644227,-0.0100927820999603,0.0703909462324724,-0.0712977651596361,0.0576202294522717,-0.0708701445613792,0.0808957626847168,-0.0564433652911906,0.0263238398749249,-0.0550807639706719,0.0411155050609292,-0.0365285584767407,-0.1038830554385327,0.0261984842980049,-0.0130165588579919,0.0124694616393398,-0.0308490182995999,0.073578154367112,-0.004538436287957,-0.0018395030580225,0.0293489304958851,-0.0564911928813442,0.0336036796029626,0.1010837977627806,-0.1295547416000817,0.0204596443685488,-0.006329299309462,0.0215860149755807,0.0062855159572385,0.0122717009797982,-0.0737917507383953,0.0602117834326983,0.0898953893732869,0.0458573843693037,-0.1169086381002763,0.0234011816622173,-0.0439433158171485,-0.1543004096840508,0.0865666465442901,-0.059804214410474,-0.1074491744339445,0.0025508342174651,-0.0413423264453075,-0.1372710172183738,0.0462169983336884,-0.1654764523527655,-0.0219362216400348,-0.032412617171329,-0.0390381210045127,-0.097322443189541,0.039923156482113,-0.0419201384842347,0.9461998848058468,-0.0933154662040476,0.1405626940079776,0.0032111165041383,0.0765888102432768,-0.0612954875699034,0.0047302256042121,0.0407968080361209,0.1857947400932342,0.0620611442991373,-0.0107027519650266,-0.0462024651741169,-0.034278915757601,0.0719278087713547,0.1313426737421784,0.0221775068891326,0.0500445692522203,0.1591157919878421,0.0099568041744866,0.2175802623701214,0.0300142611145298,0.0377558427044176,-0.0601747676464036
1,X2,0.2268235691432729,-0.2019446140145604,-0.2755655185981342,-0.0566436339104565,0.1182923895062849,-0.1101416671336661,0.1009768252608498,-0.1151712492623322,0.1146616873392404,-0.1410090887993598,-0.1165033223399102,-0.0535670040148962,0.0380602394142387,0.1188773823019772,0.1608670050988727,-0.1396767170074409,-0.0356420691094625,0.0861203625259998,-0.0608302374883765,0.023552686911255,-9.253357685851564e-05,0.0130244559470633,0.0266743265453659,-0.017549245197762,0.0452119536362897,-0.0001492531960041,0.0076611752029849,-0.0960470095769256,0.0480681091866622,-0.0624144070658052,0.2657526648347206,0.0693063537069205,0.1930598573444361,0.067233150705211,0.0947347780348612,0.1062805492035937,-0.0138502595942193,-0.0486057095526502,-0.0722040305716577,0.0723545338564028,-0.0393396277201349,-0.0495356824992699,0.0141072430682071,-0.0374160082209303,0.0680076661429991,0.0384751585443477,0.1038867125840901,0.1533971930594555,-0.0301244198593225,0.083804302954881,0.0080568850050451,-0.0265677888531973,0.0055344905311343,-0.0907594290616095,-0.0102585304859992,0.0703999408041095,-0.0712516056854115,0.057605832102922,-0.0708723044546747,0.0808495725931664,-0.0563875890367916,0.0263181270113626,-0.05507445505523,0.0412084996653701,-0.0364905662606039,-0.1039584568065048,0.0261386864842069,-0.0130332052093556,0.0125018246393419,-0.0308533442986699,0.0735677416397173,-0.0044454632081842,-0.0017781827000862,0.0293544013722346,-0.0564895654439075,0.0336006695942585,0.1010830025981746,-0.1296020636586972,0.0204387818983962,-0.0063427907375601,0.0215775243580125,0.0062769910503112,0.0122523124755532,-0.0737840692427437,0.0602314158353828,0.0898912690510519,0.0458481918200484,-0.1169043630538107,0.023407167385981,-0.0439374061241368,-0.1542896955943572,0.0865659046102099,-0.0598209407095543,-0.1074545107044884,0.0025522824301464,-0.0413385479406559,-0.1372719024606117,0.0460954041330665,-0.1655040736914957,-0.0219102383042652,-0.0324674895533317,-0.0392397683085394,-0.097310558364903,0.0283642574781946,-0.0418967703523954,-0.0523290494596843,-0.0933091418162143,0.1109865710367866,0.9993430158469347,0.0914597523562834,-0.0612955667885765,0.0047337230303277,0.0408357155717813,0.1857762998196354,0.0620978019493322,-0.0106988178735598,-0.0462034202262277,-0.0342671045277608,0.0721291796834149,0.1313320954164436,0.0221489627920766,0.0499664754491148,0.159083493150414,0.00997591537674,0.2175172693609144,0.0299027050326665,0.0379055111168487,-0.0599824755199947
2,X3,0.2268276431966746,-0.2020447693858925,-0.2755467552777299,-0.0569157429683439,0.1182655830750515,-0.1100497276631166,0.1010298831279074,-0.1151464554788433,0.1146043324487881,-0.1408451962475149,-0.116480405560955,-0.053394008418976,0.038097951242197,0.1189695347040898,0.1609303212528025,-0.1396814273829323,-0.0356380197705653,0.0861249300651814,-0.0608526868858577,0.0235536894518497,-6.401565930358021e-05,0.0130285253306218,0.0266712478514782,-0.0175532190169701,0.0451899220391862,-0.0001630603453007,0.0076570680810207,-0.096066906716983,0.0480774822270989,-0.0623740417185841,0.2657420769122356,0.0691869077726086,0.1929954105687842,0.0672069686722834,0.0947999144968151,0.1062851767459574,-0.0138326748375616,-0.0485819501668214,-0.0722022501845758,0.0723543640075439,-0.0393510717466887,-0.0495484778848705,0.0141091875142317,-0.0374037204572425,0.0680078619882234,0.0384564288969843,0.1039087228382037,0.1534745665099177,-0.0300473226169086,0.0838093145694914,0.0080317324637044,-0.0265774562626139,0.0054780104765544,-0.0907711586815204,-0.0102190451410395,0.070329908385365,-0.0713225446595778,0.0576337681185038,-0.0708679727823595,0.0807538207319959,-0.0564826617268471,0.026318162899485,-0.055084523717842,0.0410899152626767,-0.0364522350344941,-0.1039680977628933,0.0261315995220531,-0.0131398874964825,0.012478377061402,-0.0308246410955534,0.0735752312743893,-0.0044690251900141,-0.0018253788656868,0.0293090350666023,-0.0564875395034584,0.0336017652906566,0.1010647898157813,-0.1296099177399442,0.0205011301093601,-0.0063670547325355,0.0215874803400445,0.0062842498821547,0.0122603138312061,-0.0737989561701384,0.0602199807222245,0.0898905754146003,0.0458486321267401,-0.1167610292035896,0.0234143205535133,-0.043944215442158,-0.1533612446743939,0.0865793173106051,-0.0608184980093736,-0.1098699844306344,0.0025535658807463,-0.0449683535229402,-0.0820624819506149,0.9818067025287308,0.0116916782422872,-0.0219194694312092,-0.0324507090522424,-0.0392368589868323,-0.097320352547037,0.0283745325984965,-0.0419046725049918,-0.0523435071235761,-0.0933135273003961,0.1342544730395249,0.0032212399979629,0.0765639913162906,-0.0612948576916248,0.0047229711910336,0.0408244632349436,0.1857859788751633,0.06209811440161,-0.0106911291732915,-0.0462023532039914,-0.0344511511859286,0.0719488946418933,0.1312269015189207,0.0221630858514214,0.0500558272160804,0.1590923724297254,0.0099928924914166,0.2174396396770939,0.0298478786438553,0.0379115546660616,-0.0601342167741144
3,X4,-0.7656577218805221,-0.2018972503693352,-0.2756316162108859,-0.0566004773692837,0.1183032242038288,-0.1544996308576817,0.1021809193275759,-0.1151043021328336,0.1146599197910746,-0.1403308806518674,-0.1163699140322648,-0.053047868566896,0.038090025789989,0.1188886098761816,0.1608860986252925,-0.1402455698579027,-0.0361923430314989,0.0861151171118547,-0.0608716089825474,0.0232563914411146,4.285734182721902e-05,0.0130134610990773,0.0266848934487825,-0.0175564602233126,0.0452024310773897,-0.0001497475261589,0.0076766005444602,-0.0960473244094399,0.0480776179035287,-0.0623921928691249,0.2657393080949729,0.0692558023685187,0.1929948007943145,0.0672227091622554,0.0948320925149505,0.1062848652230935,-0.0138424348321205,-0.0485908549740048,-0.072197185236654,0.0723619076883684,-0.0393550727799785,-0.0495564759888333,0.0141067930811731,-0.0374111083985621,0.0680157895934818,0.0384694719187755,0.1038978740794898,0.1535057662579037,-0.0301728614451518,0.083808845397335,0.0080520825513916,-0.0264712154681224,0.0054849157138901,-0.0907646654687746,-0.0102009555578353,0.0703840545374021,-0.0712434926536478,0.0576240015359178,-0.0708831646322415,0.0808938510815243,-0.0564932469342663,0.0263207045233987,-0.0550818049623192,0.0411101243752534,-0.0365720004600675,-0.1039992804626488,0.026274075441561,-0.0130480262682645,0.0124940807649571,-0.0308032934764585,0.073577020204389,-0.004523272166729,-0.0018809693463389,0.0293796739385626,-0.0564933984962206,0.0336034516768617,0.1010836929829056,-0.1295902978463061,0.020460615744277,-0.0063632799382785,0.0215362700475248,0.0062647429513202,0.0122555958572469,-0.0737762431856911,0.0602303842960909,0.0899081430943545,0.0458626089857551,-0.1169127454961356,0.0234152361492952,-0.0439443752861154,-0.1543071950532202,0.0865728526223563,-0.0597951385227051,-0.1074495165255504,0.0025543676564191,-0.0413389706000213,-0.1373295942051901,0.0461228049534359,-0.1654712165333041,-0.0219422202645384,-0.0324115949963534,-0.0392437814138254,-0.0973217587341873,0.0283663583761055,-0.0419245051972854,-0.0523350835164063,-0.0933165727680765,0.1342524382732892,0.0032231339744542,0.0765716987974877,-0.0612951624855353,0.0047349598832179,0.0408153829373869,0.1857957266827752,0.0620328971739223,-0.0106923177443186,-0.0462078491392706,-0.0342873414084197,0.0719144749855102,0.1313227289789571,0.0221721459795438,0.0500553057973305,0.1591126227175322,0.0099467059658684,0.217474004674416,0.0299598687021435,0.0377989832602163,-0.0601769870044799
4,X5,0.2265955925292136,-0.2020855833702001,-0.275441042575589,-0.0568838069019921,0.1183105343526998,-0.1100548669141632,0.1009904308639361,-0.1151164749225435,0.1146186738316588,-0.140941080236346,-0.1163229316207414,-0.053660908672559,0.0381102539106815,0.1189860924133483,0.1608987463964637,-0.1397607458802032,-0.0356378096513588,0.0861001011374433,-0.0608419833495153,0.023565658628167,-7.578461819297789e-05,0.0130294987171422,0.0267032286974748,-0.0175362753105757,0.0451746409788242,-0.0001616591152784,0.007663083851436,-0.0960321611823926,0.0480716586120492,-0.062394528738769,0.2656920820303697,0.0692542559898971,0.1930162268822979,0.0671950672233709,0.0948420865362155,0.1062761684806522,-0.013912104867737,-0.048623820121177,-0.0721923299358568,0.0723518710468973,-0.0393511617049593,-0.0495517545282761,0.0141074365875913,-0.0374204451170601,0.0680156074913551,0.0384577337312087,0.1038704247954978,0.1534497008211929,-0.0301502036170433,0.083804583680113,0.0080330696268939,-0.0266769267831888,0.005092995020953,0.7536035425271357,-0.0102451068586801,0.0704020825545789,-0.0712696961009911,-0.475870742246514,-0.0707303572969777,0.0808520555996414,-0.0565680493070456,0.0263196005308286,-0.0550768093293059,0.0411673620679825,-0.0364428814176917,-0.1038776354665105,0.0261430000433902,-0.0130528671902437,0.0125566395440719,-0.0307846931808423,0.0735659957396276,-0.0045985677277377,-0.0018689312494491,0.02934567372986,-0.0564906914568485,0.0336004068895169,0.1010571074439574,-0.1296101858960107,0.0204564223923121,-0.0063220703228603,0.0215704222540059,0.0062649249001474,0.0122666639926853,-0.0737927372979138,0.0602212213669199,0.0898947789142724,0.0458548398739573,-0.1169038181374914,0.0233941286160422,-0.0439409694649285,-0.1542923057434519,0.0865804904399273,-0.059801141992102,-0.1074370827140541,0.0025502169846819,-0.0413312899168604,-0.1372798152499982,0.0461626929893814,-0.1655434470020181,-0.021920684365991,-0.032425382976993,-0.0392211830472398,-0.0973108571993537,0.0283701640709212,-0.0419070873598107,-0.0523294871977959,-0.0933089478967481,0.1342372332632866,0.0032238747453106,0.0765768741638372,-0.0612914378963345,0.0047278495915921,0.04080695049046,0.1857779825096569,0.0620942728587247,-0.0106869803730603,-0.0461961488166338,-0.0343148558810575,0.0718779103360417,0.1313682380135992,0.0221548033844132,0.0500667653507972,0.1590672005278785,0.0099510547693742,0.2174910962395216,0.0298836858071275,0.0379253180982539,-0.0602770954458393
5,X6,0.2275373260142685,-0.2023903776673309,-0.276653823848985,-0.0572407511619117,0.1172901213853021,-0.1096149814348679,0.1012587646436755,-0.1150342546039894,0.1149747732988323,-0.1362081975964841,-0.1128226048838868,-0.0516536215489087,0.0379525689464603,0.1197818735752311,0.1612051201550033,-0.1399557415626887,-0.0356507338069376,0.0862473517359215,-0.0607462653220742,0.0235601676393724,-0.0002509774501485,0.0126387016110135,0.0269453757115445,-0.0178085047801956,0.0451646848087525,-0.0001597896648793,0.0076880433189813,-0.0960705284347914,0.0481485175746274,-0.0624555885880011,0.2668310346524879,0.0697177579295029,0.1934376925849265,0.0670200403218468,0.0947078768642473,0.1063389248329232,-0.013637879906922,-0.0484076708930669,-0.0722159843591532,0.0723680529050652,-0.039409129642664,-0.0495825674223955,0.0140990627623179,-0.0376301077401924,0.068047263222374,0.0386733754674757,0.1032033884087116,0.1540669208625118,-0.030664440862516,0.0835676935977389,0.0078721071668856,-0.0260561756973326,0.0044667434303952,-0.090862629974283,-0.0103910295271192,0.0714619821302618,-0.068111018919046,0.0576160706906763,-1.0615854290597562,0.0804212980191046,0.0372514275081088,0.0263386974063496,-0.0551094052966813,0.0417272128961332,-0.037368826162539,-0.1046991895104916,0.0268937802738966,-0.0124772582156044,0.0128300253848123,-0.0302621514504402,0.0736089139633923,-0.0035564189487143,-0.0014788516256214,0.0291082427594114,-0.056513723179033,0.0336152711315818,0.1008423720699926,-0.129824880633446,0.0205811702253476,-0.0066671443674513,0.0214951305687745,0.0061948194117127,0.0122217993919756,-0.0737908313711338,0.0602337898273429,0.0899255112803649,0.0455510407043709,-0.1169723965393501,0.0237046890111212,-0.0439640827018373,-0.1543845549729714,0.0866479545235528,-0.0598443002768357,-0.1074705210802862,0.0025522435461806,-0.0413136826587749,-0.1378362067985929,0.0461104571889971,-0.1648121969963533,-0.0218131858429563,-0.0326691701286773,-0.0392588649829559,-0.0973563215340503,0.0284844984310528,-0.0418233231349111,-0.0523432554939178,-0.0933627648451365,0.1343210421867518,0.0032803948606109,0.0764618699278918,-0.0613248874941906,0.004719256313279,0.0409855472572827,0.1858417629053709,0.0621487898743026,-0.0107046846772779,-0.0462293638890915,-0.0343715483285821,0.072168291467718,0.1312979189920377,0.0220490169745133,0.0501097191143516,0.1591399189672917,0.0100889340975665,0.2165742346845352,0.0288207075599539,0.0380791166524547,-0.0602797013272923
6,X7,0.2267927571116532,-0.2019144784592715,-0.2755632784160534,-0.0567614911235207,0.1183352887678916,-0.110116175762708,0.1010111704481841,-0.1151693450759814,0.1146003858895403,-0.1407606279948798,-0.1163052860764023,-0.0534290170357864,0.0382106897752045,0.1190703816140125,0.1608670619380343,-0.139704028613907,-0.0356339873013543,0.0861109824349894,-0.0608479383053809,0.023585951821812,-7.983881312487988e-05,0.0130438241295256,0.0266313925614274,-0.0175062874888623,0.0451795123039752,-0.0001677571508826,0.0076718760440344,-0.096068919404681,0.0480765326843673,-0.062404658873122,0.2657480449881545,0.0692869076105565,0.1929982149778833,0.0672239616439916,0.0947589032543687,0.1062836501554766,-0.0138650765158904,-0.0485397934899409,-0.0721984410668965,0.0723511020051689,-0.0393471762794832,-0.0495461844449912,0.0141033463586889,-0.0374085446805533,0.0680145189773872,0.0384656262342343,0.1038723717766548,0.153472506388196,-0.0301454065072722,0.0838090102139844,0.0079986719149194,-0.0265124585438887,0.005538059980941,-0.0907568859495482,-0.0102369483812228,0.070407258799483,-0.0713606765842611,0.057626646331661,-0.0708687873611587,0.0808368271470416,-0.0565394601926103,0.0263229073356052,-0.0550767788197279,0.0411677923593099,-0.0364550892120285,-0.1038332474489891,0.0261700903244674,-0.0130372342435839,0.0124844003731168,-0.0307732707323836,0.0735728443867104,-0.0044726040951057,-0.0018608249980794,0.0293351416279127,-0.0564910640616925,0.0336023334636971,0.1009941865906382,-0.1296272871795408,0.0204832796233752,-0.0063415267941026,0.0215646172498046,0.0062875412386536,0.0122626997750085,-0.0737940824635636,0.0602149967360059,0.0898963246337445,0.0458460632232167,-0.1169077790911737,0.0233858076692904,-0.0439392205371945,-0.1542961928116488,0.0865662746118493,-0.0597987536607116,-0.1074378276515917,0.0025511155565057,-0.0413410974655182,-0.1372474821569853,0.0461158071097856,-0.1655739348564105,-0.0219293932354625,-0.0324449333236057,-0.0392411237740326,-0.0973228063255157,0.0283733022354567,-0.0419191576056015,-0.0523191240587627,-0.0933100573830884,0.1342467798553822,0.0032188364235851,0.0765870944338729,-0.0612886627693815,0.0047312684917472,0.0408370915948435,0.1857875284924119,0.0621178711965187,-0.0106928248216394,-0.0462705983412999,-0.0344009544147892,0.0719160468709678,0.1313453484343709,0.0221375809798006,0.0500548833638608,0.1589964324934396,0.0105241469629902,1.1832901141455896,0.0299056037260842,0.0379141819942845,-0.3124688684020753
7,X8,0.2268018184446411,-1.1897208103771773,-0.3586532732144893,-0.0587847670041821,0.1183708982669477,-0.1101660226951642,0.1004899610692786,-0.1153257120347241,0.1146738950939656,-0.1411076763948507,-0.1167774829233334,-0.0529854240469222,0.0381240721809384,0.1190195484600945,0.1609466071053922,-0.1396774746264051,-0.035637547686172,0.0861121245381767,-0.0608512589990418,0.023553175454292,-9.347086939730968e-05,0.0130140921263052,0.0267114922421926,-0.0175708925829026,0.0452016839738096,-0.0001643506807872,0.00767790138635,-0.0960265572651929,0.0480727619798502,-0.062360973887824,0.2657444240337941,0.0692834555356256,0.1930114628912122,0.0672226819764015,0.0947862424885355,0.1062757333522006,-0.0138580182592789,-0.0485424129310858,-0.0722159763433681,0.0723475965594283,-0.0395629698062452,-0.0495478927621641,0.014101447732921,-0.0373816581784312,0.068013273051717,0.0384663677201006,0.1038708599600877,0.1533779187290873,-0.0301143004483622,0.083797939194389,0.0080362032297666,-0.0264573263952003,0.0055149801301481,-0.0907435255887941,-0.0101756100486929,0.0703434592971233,-0.0713963078073706,0.057618840971472,-0.0708534214570664,0.0808026490932522,-0.0564866620255639,0.0263186282168217,-0.0550738890523777,0.041143972207443,-0.0364679323526603,-0.1039364250177315,0.0261257937948337,-0.0130425143884938,0.0125280081874969,-0.0308151878813241,0.0735695267226875,-0.0045012930888861,-0.0018387802761068,0.0293293711905637,-0.0564899465210488,0.0336009015581295,0.1010711513552383,-0.1296120602149098,0.0204626066276747,-0.0063385909927281,0.0215537380779095,0.0062587218572404,0.0122665722230254,-0.073791972181866,0.0602183977163727,0.0898821980079594,0.045857992766745,-0.1168991499730676,0.0234214219640624,-0.0439396168860077,-0.1542796548573432,0.0865685478826243,-0.0598054164690185,-0.1074376977578168,0.0025461384913405,-0.041322134729032,-0.1372745348756741,0.0461212520026338,-0.1655135456258665,-0.021921345834098,-0.0324220405939507,-0.0392376468537234,-0.0973093171679844,0.0283591396068978,-0.0419052161499729,-0.0523394512165962,-0.0933119363484902,0.1342452571250743,0.0032116004329349,0.0765658086942322,-0.0612927128458759,0.0047291613275464,0.0408097953195562,0.1857741273534126,0.0620615513370634,-0.0107000210692892,-0.0461954410735058,-0.0342814046434537,0.0719140040092279,0.1312959683741582,0.0221476565218733,0.0500371700527589,0.1590998180944593,0.009951573358962,0.2175100958306778,0.029924289763134,0.0379163208075283,-0.0603805823615068
8,X9,0.2267485134214421,-0.2019193345687264,-0.2754382168532429,-0.0567336655225202,0.1183124020748243,-0.1100919669076326,0.1010398893693595,-0.1160337458274912,0.2039248218619374,-0.7913555702203487,0.1420163654530102,0.0551729425278788,0.0381354039212987,0.153973080520865,0.1774871925443783,-0.1463653619024667,-0.0356350349718135,0.0861098522098038,-0.0574684814926428,0.0202393708250619,-6.419013708580979e-05,0.0130466330678503,0.0292450470685546,-0.0175241868839996,0.0451601597247036,-0.0001736042463649,0.0076701553539975,-0.0960635648909786,0.04805428458106,-0.0640307065710162,0.2657006368473554,0.0688458261717425,0.1929746632402276,0.0672483832520677,0.0943967093787586,0.1067501074458647,-0.0143308733952683,-0.0478863647854687,-0.0719350303948365,0.0723555022467867,-0.0393585742081058,-0.0494518532686788,0.0141017041793408,-0.0373640486539457,0.0681274374654926,0.0384594696853862,0.1039049663556135,0.153516830376035,-0.0300863303572837,0.0836193471626459,0.0080547641564085,-0.0265510941324193,0.0055314036535079,-0.0907779760449957,-0.010187108892966,0.0703591990835823,-0.071326579869195,0.0576226897535524,-0.0708728257701914,0.0807663619278637,-0.0565161251407301,0.0263241031104421,-0.0550834528219479,0.0410724219233873,-0.0364409722621965,-0.1038792980463203,0.0263099208135425,-0.0129998025654397,0.0124898776930356,-0.0308326797350205,0.0735769989268076,-0.004533175339991,-0.0018341788768398,0.0293803309173214,-0.0564920316073511,0.0336036580692305,0.1010992159488901,-0.1295942692495776,0.0204641634552606,-0.0063238321605173,0.0215540811830173,0.0063731592041295,0.0122092645997902,-0.0738067335553031,0.0602176973322346,0.0898986774418656,0.0458545285209879,-0.116910992638037,0.023395490934812,-0.0439436561457928,-0.1543020089042052,0.0865739807355698,-0.059796347961478,-0.1074500097677689,0.0025479864029594,-0.0413382654624339,-0.1372811257995629,0.0461443761649651,-0.165523249226398,-0.0219204027146549,-0.0324177171840808,-0.0392260276898239,-0.0973191944296248,0.0283697191382193,-0.0419153254016803,-0.052326582409839,-0.0933179639381361,0.1342495481438869,0.0032190140933926,0.0765739189521157,-0.0612940240376034,0.0047286201376589,0.0407825261636701,0.1857810216066144,0.0620829375714345,-0.0106866804570723,-0.0461981474855129,-0.0343040183885426,0.071897251513069,0.131406215159149,0.0221480133443252,0.0500586134683359,0.1590991796956997,0.0099689085939831,0.217472468271592,0.0297585997346069,0.0379380923573436,-0.0601587881646141
9,X10,0.2270265618171396,-0.2018667055860391,-0.27553619225248,-0.0567411449654967,0.1183160344811038,-0.1100395055538798,0.1009898141661312,-0.1151790399688119,0.1143622949605785,-0.1409229202800232,-0.1163415801957342,-0.0536084636880588,0.0379259780135854,0.1189291517110384,0.1586719140544063,-0.1397218876662827,-0.0356395990844544,0.0861105031451527,-0.0608604246238157,0.0235671466895993,0.7984579782814049,-0.574603358865783,0.0267265844048706,-0.017465388437231,0.0451941682908751,-0.0001701182472494,0.0077817776237423,-0.0960684292533377,0.0480870009295531,-0.0623899817778529,0.2656974648084818,0.0692693756417052,0.1929749059021644,0.0672102728145219,0.0948027466494092,0.1062790536248144,-0.0138615838269826,-0.0485905120061538,-0.0722192999099437,0.0723517899834227,-0.0393379756560104,-0.0495454699081232,0.014110196655035,-0.0373818122682938,0.0680092443880114,0.0384596935445751,0.103865232922889,0.1534583933435014,-0.0301159155821537,0.0838123587954764,0.0080435144889056,-0.0265925756749078,0.0055207520320134,-0.0907573365864728,-0.0101473789971319,0.070396931641903,-0.0712472583317049,0.0576021698642848,-0.0708841284252811,0.0807828885047431,-0.0564117009705348,0.0263213054620179,-0.0550772543783832,0.0410921394326406,-0.0364923479447605,-0.1039913492926307,0.0262569406327698,-0.0130962748506595,0.012500164314818,-0.0308455917915348,0.0735686065699441,-0.0044840984625447,-0.0018439671058987,0.0293988358419959,-0.0564915249239534,0.0336008537492841,0.101077326245305,-0.1296059204077879,0.0204548565612287,-0.0063446979985268,0.0215696697790751,0.0062780834420493,0.0122555769416382,-0.0737936435600149,0.0602105830372191,0.0898861434037332,0.0458572040762993,-0.1169077883919696,0.0234172230927535,-0.0439401713915103,-0.1542933465478767,0.0865860425363423,-0.0598075848920507,-0.1074523940433046,0.0025490583872114,-0.0413433546412545,-0.1373059077975555,0.0461371079424812,-0.1654243042307576,-0.0219672335533993,-0.032450637538965,-0.0392358511055783,-0.0973095249613553,0.0283766482504722,-0.0418996259264879,-0.0523330145696838,-0.0933169645925902,0.1342484867769068,0.0032228122203001,0.0765778044644786,-0.0612960175675349,0.0047253285837331,0.0408094867199566,0.1857882003645045,0.0620983834968937,-0.010692979416292,-0.0461913051933554,-0.0343065745127825,0.0719475002672365,0.1313550847568885,0.0221464015895743,0.0500510613174416,0.1591041020293597,0.0099823906510042,0.2175271524731402,0.0298796336760742,0.0377219418878744,-0.0601847993457904
