,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64
0,X1:0.10215,X2:0.089326,X3:0.61942,X4:7.9344,X5:56.01,X6:0.21235,X7:0.10215,X8:10.193,X9:1.1344,X10:0.91054,X11:0.10215,X12:1.1436,X13:0.19373,X14:0.10215,X15:260.2,X16:1.4028,X17:11.195,X18:0.10215,X19:0.15794,X20:121.65,X21:1.0525,X22:0.078786,X23:0.15794,X24:0.2502,X25:0.91054,X26:1.4028,X27:1.3818,X28:2.1268,X29:4.313,X30:0.093418,X31:0.15794,X32:57.183,X33:6.383,X34:0.88201,X35:0.078786,X36:0.67411,,X38:0.91054,X39:0.12181,X40:3.892,X41:0.02881,X42:0.12181,X43:203.77,X44:82.125,X45:0.4739,X46:5.5212,X47:137.99,X48:0.055636,X49:0.086018,X50:7.9344,X51:0.089326,X52:0.15667,X53:3.1263,X54:3.1263,X55:12734,X56:0.11847,X57:0.11219,X58:0.88153,,X60:3.0005,X61:4.4444,X62:50.409,X63:7.2408,X64:2.2207
1,X1:0.075023,X2:0.34675,X3:0.19015,X4:1.6062,X5:3.9113,X6:0.23485,X7:0.099814,X8:1.5629,X9:1.0598,X10:0.54192,X11:0.099814,X12:0.31821,X13:0.093129,X14:0.099814,X15:795.14,X16:0.45904,X17:2.8839,X18:0.099814,X19:0.0584,X20:30.898,X21:1.1785,X22:0.10066,X23:0.043895,X24:0.30772,X25:0.54192,X26:0.38754,X27:0.62419,X28:0.38324,X29:4.425,X30:0.17711,X31:0.0584,X32:70.995,X33:5.1412,X34:0.29029,X35:0.10066,X36:1.7279,X37:10.858,X38:0.57499,X39:0.058895,X40:0.23154,X41:0.071242,X42:0.058895,X43:92.085,X44:61.187,X45:0.51853,X46:1.145,X47:32.747,X48:0.041302,X49:0.024165,X50:1.453,X51:0.31367,X52:0.19451,X53:1.0922,X54:1.1589,X55:5059.6,X56:0.056458,X57:0.13844,X58:0.94354,X59:0.061034,X60:11.813,X61:5.9653,X62:66.987,X63:5.4488,X64:3.4446
2,X1:0.054662,X2:0.54401,X3:0.35612,X4:1.6656,X5:99.138,,X7:0.068143,X8:0.83819,X9:1.1257,X10:0.45599,X11:0.085093,X12:0.12736,X13:0.067771,X14:0.068143,X15:2602.9,X16:0.14023,X17:1.8382,X18:0.068143,X19:0.060537,X20:18.334,X21:1.068,X22:0.085093,X23:0.04856,X24:0.18436,X25:0.38099,X26:0.11545,X27:5.0204,X28:3.2715,X29:3.5229,X30:0.47227,X31:0.075593,X32:187.33,X33:1.9484,X34:1.9162,X35:0.083199,X36:1.1257,X37:92.903,X38:0.46497,X39:0.073911,X40:0.050737,X41:0.19449,X42:0.075594,X43:280.16,X44:261.82,X45:0.96677,X46:1.5599,X47:19.797,X48:0.076949,X49:0.068359,X50:1.6381,X51:0.53503,X52:0.51324,X53:4.189,X54:4.2715,X55:1187.1,X56:0.073911,X57:0.11988,X58:0.94352,X59:0.019701,X60:19.909,X61:1.3941,X62:173.49,X63:2.1039,X64:10.341
3,X1:0.10059,X2:0.19452,X3:0.53136,X4:3.7317,X5:36.266,X6:0.19715,X7:0.11873,X8:2.4425,X9:1.0502,X10:0.47511,X11:0.11873,X12:0.61039,X13:0.075256,X14:0.11873,X15:443.18,X16:0.8236,X17:5.141,X18:0.11873,X19:0.055775,X20:56.375,X21:1.099,X22:0.11289,X23:0.047255,X24:0.24195,X25:0.47511,X26:0.73035,X27:0.55694,X28:1.9384,X29:3.9283,X30:0.031557,X31:0.055775,X32:35.026,X33:10.421,X34:0.58038,X35:0.11289,X36:2.2058,,X38:0.47511,X39:0.053033,X40:0.66772,X41:0.041428,X42:0.053033,X43:102.19,X44:45.815,X45:0.30595,X46:2.0414,X47:59.204,X48:0.071422,X49:0.033551,X50:3.7317,X51:0.19452,X52:0.095961,X53:1.7332,X54:1.7332,X55:4505.2,X56:0.047782,X57:0.21173,X58:0.95222,,X60:6.4745,X61:7.9669,X62:33.352,X63:10.944,X64:7.7655
4,X1:-0.09378,X2:0.43192,X3:-0.13068,X4:0.20783,X5:-577.21,X6:-0.13799,X7:-0.09378,X8:1.3153,X9:0.042883,X10:0.56808,X11:-0.076639,X12:-0.56849,X13:-1.6796,X14:-0.09378,X15:-2188.7,X16:-0.16676,X17:2.3153,X18:-0.09378,X19:-2.1869,X20:223.31,X21:0.78783,X22:-0.076639,X23:-2.1869,X24:-0.22565,X25:0.55628,X26:-0.16676,X27:-4.4712,X28:-0.1353,X29:3.741,X30:9.9936,X31:-1.7872,X32:515.56,X33:0.72958,X34:0.27865,X35:-0.073903,X36:0.043713,X37:0.030136,X38:0.83515,X39:-1.7234,X40:0.027504,X41:-0.2623,X42:-1.7872,X43:253.2,X44:29.886,X45:-3.5744,X46:0.18655,X47:79.569,X48:-0.098391,X49:-2.2944,X50:0.079378,X51:0.16496,X52:1.3707,X53:0.58816,X54:0.86466,X55:-719.77,X56:-1.7234,X57:-0.16508,X58:2.7532,X59:0.47012,X60:1.6345,X61:12.213,X62:1404.1,X63:0.25996,X64:0.044398
5,X1:-0.058892,X2:0.65946,X3:-0.068289,X4:0.89543,X5:-18.533,,X7:-0.058892,X8:0.5164,X9:2.3804,X10:0.34054,X11:-0.048868,X12:-0.090179,X13:0.010165,X14:-0.058892,X15:9947.3,X16:0.036693,X17:1.5164,X18:-0.058892,X19:-0.02474,X20:7.7451,X21:0.86422,X22:-0.049151,X23:-0.02474,X24:-0.4483,X25:0.31004,X26:0.036693,X27:-4.9033,X28:-0.16446,X29:3.5336,X30:0.27527,X31:-0.020529,X32:97.166,X33:3.7565,X34:3.72,X35:-0.072736,X36:2.3804,,X38:0.34054,X39:-0.030556,X40:0.011334,X41:0.64769,X42:-0.020648,X43:88.529,X44:80.784,X45:-1.1659,X46:0.81808,X47:7.5155,X48:-0.13224,X49:-0.055553,X50:0.88673,X51:0.65305,X52:0.26621,X53:0.82011,X54:0.82011,X55:-233.31,X56:-0.030556,X57:-0.17294,X58:1.0242,,X60:47.126,X61:4.5182,X62:100.13,X63:3.6451,X64:5.7327
6,X1:-0.22986,X2:1.6368,X3:-0.72856,X4:0.54734,X5:-90.397,X6:-0.46161,X7:-0.22986,X8:-0.38906,X9:4.6805,X10:-0.63681,X11:-0.19296,X12:-0.14281,X13:-0.043607,X14:-0.22986,X15:-2927.1,X16:-0.12469,X17:0.61094,X18:-0.22986,X19:-0.04911,X20:37.75,X21:2.4805,X22:-0.19306,X23:-0.04911,X24:-0.69147,X25:-0.69143,X26:-0.12469,X27:-5.2324,X28:-6.1123,X29:3.2627,X30:0.3348,X31:-0.045964,X32:122.81,X33:3.0385,X34:2.9879,X35:-0.10306,X36:4.6974,,X38:-0.63681,X39:-0.02202,X40:0.048877,X41:-0.32611,X42:-0.041249,X43:62.564,X44:24.813,X45:-0.47483,X46:0.34964,X47:36.129,X48:-0.21882,X49:-0.046751,X50:0.5382,X51:1.6095,X52:0.3291,X53:-5.3425,X54:-5.3425,X55:-1334,X56:-0.022054,X57:0.36095,X58:1.0411,,X60:9.6688,X61:14.71,X62:125.51,X63:2.908,X64:39.267
7,X1:0.037938,X2:0.080153,X3:0.8805,X4:13.979,X5:183.65,,X7:0.042864,X8:11.476,X9:1.0962,X10:0.91985,X11:0.044422,X12:0.63186,X13:0.048776,X14:0.042864,X15:547.16,X16:0.66708,X17:12.476,X18:0.042864,X19:0.039102,X20:109.14,X21:1.0579,X22:0.000988,X23:0.034609,X24:0.098873,X25:0.70052,X26:0.60563,X27:0.63426,X28:17.042,X29:3.6669,X30:-0.054544,X31:0.040523,X32:22.722,X33:16.064,X34:13.596,X35:0.006477,X36:1.0962,,X38:0.91985,X39:0.005909,X40:2.0954,X41:0.23048,X42:0.000901,X43:268.43,X44:159.29,X45:0.11574,X46:9.1474,X47:109.79,X48:-0.009617,X49:-0.008773,X50:11.831,X51:0.067838,X52:0.062252,X53:17.804,X54:17.804,X55:4088.9,X56:0.005908,X57:0.041244,X58:0.96254,,X60:3.3442,X61:2.2914,X62:22.588,X63:16.159,X64:21.217
8,X1:0.067682,X2:0.45975,X3:0.53226,X4:2.1655,X5:92.114,,X7:0.083558,X8:1.1751,X9:2.1108,X10:0.54025,X11:0.083558,X12:0.18297,X13:0.043076,X14:0.083558,X15:1845.6,X16:0.19777,X17:2.1751,X18:0.083558,X19:0.039586,X20:0.70652,X21:1.5808,X22:0.083546,X23:0.032065,X24:0.33266,X25:0.4381,X26:0.16324,,X28:48.159,X29:2.6897,X30:-0.02646,X31:0.039586,X32:81.778,X33:4.4633,X34:4.4336,X35:0.072473,X36:2.1108,,X38:0.54025,X39:0.034334,X40:1.1476,X41:0.16857,X42:0.03958,X43:80.379,X44:79.673,X45:16.565,X46:2.1565,X47:0.73164,X48:0.076179,X49:0.03609,X50:2.151,X51:0.45669,X52:0.22405,X53:48.881,X54:48.881,X55:260.54,X56:0.034334,X57:0.12528,X58:0.96062,,X60:516.61,X61:4.5812,X62:78.97,X63:4.622,X64:190.99
9,X1:-0.023598,X2:0.27815,X3:0.17526,X4:1.6301,X5:17.584,X6:-0.047503,X7:-0.025623,X8:2.5283,X9:0.98863,X10:0.70325,X11:-0.025623,X12:-0.092118,X13:0.00688,X14:-0.025623,X15:7265.5,X16:0.050237,X17:3.5952,X18:-0.025623,X19:-0.012615,X20:9.9677,X21:1.2539,X22:-0.033365,X23:-0.011619,X24:-0.047211,X25:0.70325,X26:0.057516,X27:-0.16241,X28:0.32065,X29:5.1469,X30:0.12659,X31:-0.012615,X32:49.418,X33:7.386,X34:-0.11995,X35:-0.033365,X36:2.0496,,X38:0.70325,X39:-0.016427,X40:0.15248,X41:1.4676,X42:-0.016427,X43:73.86,X44:63.892,X45:-0.42545,X46:1.4307,X47:9.8544,X48:-0.072962,X49:-0.035923,X50:1.6301,X51:0.27815,X52:0.13539,X53:1.2866,X54:1.2866,X55:24583,X56:-0.011499,X57:-0.033556,X58:1.0115,,X60:36.618,X61:5.7127,X62:49.986,X63:7.302,X64:3.7159
